site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2001-01-25,0.56,0.6,34.400275,-119.7445915,2001-01-25,1,2001
ABUR,2001-01-26,0.39,0.53,34.400275,-119.7445915,2001-01-26,1,2001
ABUR,2001-01-27,0.46,0.55,34.400275,-119.7445915,2001-01-27,1,2001
ABUR,2001-01-28,0.32,0.42,34.400275,-119.7445915,2001-01-28,1,2001
ABUR,2001-01-29,0.22,0.25,34.400275,-119.7445915,2001-01-29,1,2001
ABUR,2001-01-30,0.26,0.32,34.400275,-119.7445915,2001-01-30,1,2001
ABUR,2001-01-31,0.17,0.22,34.400275,-119.7445915,2001-01-31,1,2001
ABUR,2001-02-01,0.17,0.19,34.400275,-119.7445915,2001-02-01,2,2001
ABUR,2001-02-02,0.22,0.27,34.400275,-119.7445915,2001-02-02,2,2001
ABUR,2001-02-03,0.42,0.54,34.400275,-119.7445915,2001-02-03,2,2001
ABUR,2001-02-04,0.49,0.61,34.400275,-119.7445915,2001-02-04,2,2001
ABUR,2001-02-05,0.23,0.31,34.400275,-119.7445915,2001-02-05,2,2001
ABUR,2001-02-06,0.14,0.18,34.400275,-119.7445915,2001-02-06,2,2001
ABUR,2001-02-07,0.19,0.23,34.400275,-119.7445915,2001-02-07,2,2001
ABUR,2001-02-08,0.22,0.3,34.400275,-119.7445915,2001-02-08,2,2001
ABUR,2001-02-09,0.13,0.16,34.400275,-119.7445915,2001-02-09,2,2001
ABUR,2001-02-10,0.25,0.41,34.400275,-119.7445915,2001-02-10,2,2001
ABUR,2001-02-11,0.3,0.42,34.400275,-119.7445915,2001-02-11,2,2001
ABUR,2001-02-12,0.2,0.24,34.400275,-119.7445915,2001-02-12,2,2001
ABUR,2001-02-13,0.21,0.24,34.400275,-119.7445915,2001-02-13,2,2001
ABUR,2001-02-14,0.16,0.2,34.400275,-119.7445915,2001-02-14,2,2001
ABUR,2001-02-15,0.12,0.14,34.400275,-119.7445915,2001-02-15,2,2001
ABUR,2001-02-16,0.16,0.22,34.400275,-119.7445915,2001-02-16,2,2001
ABUR,2001-02-17,0.14,0.17,34.400275,-119.7445915,2001-02-17,2,2001
ABUR,2001-02-18,0.22,0.31,34.400275,-119.7445915,2001-02-18,2,2001
ABUR,2001-02-19,0.22,0.29,34.400275,-119.7445915,2001-02-19,2,2001
ABUR,2001-02-20,0.65,0.99,34.400275,-119.7445915,2001-02-20,2,2001
ABUR,2001-02-21,0.48,0.72,34.400275,-119.7445915,2001-02-21,2,2001
ABUR,2001-02-22,0.23,0.27,34.400275,-119.7445915,2001-02-22,2,2001
ABUR,2001-02-23,0.28,0.38,34.400275,-119.7445915,2001-02-23,2,2001
ABUR,2001-02-24,0.3,0.4,34.400275,-119.7445915,2001-02-24,2,2001
ABUR,2001-02-25,0.19,0.32,34.400275,-119.7445915,2001-02-25,2,2001
ABUR,2001-02-26,0.27,0.32,34.400275,-119.7445915,2001-02-26,2,2001
ABUR,2001-02-27,0.31,0.36,34.400275,-119.7445915,2001-02-27,2,2001
ABUR,2001-02-28,0.24,0.27,34.400275,-119.7445915,2001-02-28,2,2001
ABUR,2001-03-01,0.29,0.35,34.400275,-119.7445915,2001-03-01,3,2001
ABUR,2001-03-02,0.37,0.43,34.400275,-119.7445915,2001-03-02,3,2001
ABUR,2001-03-03,0.41,0.47,34.400275,-119.7445915,2001-03-03,3,2001
